year,match_type,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,super_over
2010,League,G Gambhir,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,Delhi Capitals,Delhi Daredevils,field,Delhi Capitals,N
2010,League,MK Tiwary,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,Kolkata Knight Riders,N
2010,League,WPUJC Vaas,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Deccan Chargers,Deccan Chargers,bat,Deccan Chargers,N
2010,League,V Sehwag,"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals,Delhi Capitals,Delhi Daredevils,field,Delhi Capitals,N
2010,League,JH Kallis,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,bat,Royal Challengers Bangalore,N
2010,League,MS Dhoni,Eden Gardens,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,N
2010,League,SR Tendulkar,Feroz Shah Kotla,Delhi Capitals,Mumbai Indians,Delhi Daredevils,field,Mumbai Indians,N
2010,League,JH Kallis,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,field,Royal Challengers Bangalore,N
2010,League,ML Hayden,Feroz Shah Kotla,Delhi Capitals,Chennai Super Kings,Delhi Daredevils,bat,Chennai Super Kings,N
2010,League,A Symonds,Barabati Stadium,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Deccan Chargers,N
2010,League,AA Jhunjhunwala,"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals,N
2010,League,JH Kallis,Brabourne Stadium,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Royal Challengers Bangalore,N
2010,League,A Symonds,Barabati Stadium,Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,Deccan Chargers,N
2010,League,J Theron,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,field,Kings XI Punjab,Y
2010,League,SR Tendulkar,Brabourne Stadium,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,bat,Mumbai Indians,N
2010,League,RV Uthappa,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bangalore,N
2010,League,AC Voges,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,field,Rajasthan Royals,N
2010,League,SR Tendulkar,Brabourne Stadium,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,N
2010,League,KM Jadhav,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,field,Delhi Capitals,N
2010,League,YK Pathan,"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals,Deccan Chargers,Deccan Chargers,bat,Rajasthan Royals,N
2010,League,MK Tiwary,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kolkata Knight Riders,N
2010,League,NV Ojha,"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Rajasthan Royals,N
2010,League,Harbhajan Singh,Dr DY Patil Sports Academy,Deccan Chargers,Mumbai Indians,Deccan Chargers,field,Mumbai Indians,N
2010,League,DA Warner,Feroz Shah Kotla,Delhi Capitals,Kolkata Knight Riders,Delhi Daredevils,bat,Delhi Capitals,N
2010,League,SL Malinga,Brabourne Stadium,Mumbai Indians,Kings XI Punjab,Mumbai Indians,field,Mumbai Indians,N
2010,League,M Vijay,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Chennai Super Kings,N
2010,League,KD Karthik,Feroz Shah Kotla,Delhi Capitals,Rajasthan Royals,Delhi Daredevils,bat,Delhi Capitals,N
2010,League,SC Ganguly,Eden Gardens,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,Kolkata Knight Riders,N
2010,League,KP Pietersen,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,Royal Challengers Bangalore,N
2010,League,M Vijay,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Chennai Super Kings,N
2010,League,AT Rayudu,Brabourne Stadium,Mumbai Indians,Deccan Chargers,Mumbai Indians,bat,Mumbai Indians,N
2010,League,DPMD Jayawardene,Eden Gardens,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,Kings XI Punjab,N
2010,League,PD Collingwood,Feroz Shah Kotla,Delhi Capitals,Royal Challengers Bangalore,Delhi Daredevils,bat,Delhi Capitals,N
